 Q (1/Ang),Yb-Yb,Yb-Ti,Yb-O ,Ti-Ti,Ti-O ,O-O  
   1.85000 ,    -0.717661530472647E+01 ,     0.314825216009297E+01 ,     0.253138010711645E+00 ,    -0.665561866517258E+01 ,    -0.185413308004506E+01 ,    -0.942772007101459E+00 , 
   1.86000 ,    -0.626202851208639E+01 ,     0.446803875492042E+01 ,     0.340030007134007E+00 ,    -0.574297298791302E+01 ,    -0.143996117442863E+01 ,    -0.117307916797926E+01 , 
   1.87000 ,    -0.484949482208079E+01 ,     0.477721883760214E+01 ,     0.310363104104917E+00 ,    -0.442146592527876E+01 ,    -0.705361973099455E+00 ,    -0.146475327292146E+01 , 
   1.88000 ,    -0.322717632480472E+01 ,     0.392150835705739E+01 ,     0.155549468650048E+00 ,    -0.296318703623259E+01 ,     0.188520933539659E+00 ,    -0.174492718436753E+01 , 
   1.89000 ,    -0.175374868797695E+01 ,     0.201997127203768E+01 ,    -0.101718815526132E+00 ,    -0.169182517144140E+01 ,     0.103812904517616E+01 ,    -0.194151591681939E+01 , 
   1.90000 ,    -0.783725328393523E+00 ,    -0.542185346148732E+00 ,    -0.408709002397723E+00 ,    -0.915116991665196E+00 ,     0.164301924581710E+01 ,    -0.200212154930540E+01 , 
   1.91000 ,    -0.588649924028362E+00 ,    -0.318437222042452E+01 ,    -0.691426634840367E+00 ,    -0.856270739595441E+00 ,     0.185153395964275E+01 ,    -0.190844548317280E+01 , 
   1.92000 ,    -0.129077103449080E+01 ,    -0.525306377409443E+01 ,    -0.869841802609988E+00 ,    -0.159881427717691E+01 ,     0.159635373543479E+01 ,    -0.168230958508892E+01 , 
   1.93000 ,    -0.282395096378565E+01 ,    -0.617153646714685E+01 ,    -0.876847975293704E+00 ,    -0.305718061461143E+01 ,     0.911944985156479E+00 ,    -0.138138895029832E+01 , 
   1.94000 ,    -0.493148492203431E+01 ,    -0.558479741902490E+01 ,    -0.677061618425730E+00 ,    -0.498052388048113E+01 ,    -0.700203591499790E-01 ,    -0.108531248076392E+01 , 
   1.95000 ,    -0.720317582466990E+01 ,    -0.346665136552460E+01 ,    -0.281148064553527E+00 ,    -0.699066343179669E+01 ,    -0.114628056717657E+01 ,    -0.875272671554097E+00 , 
   1.96000 ,    -0.914589813296093E+01 ,    -0.162182895604362E+00 ,     0.248142092202762E+00 ,    -0.864800155325248E+01 ,    -0.208300137543016E+01 ,    -0.812079418131734E+00 , 
   1.97000 ,    -0.102746795003585E+02 ,     0.364853411280091E+01 ,     0.800644971548382E+00 ,    -0.953321324504340E+01 ,    -0.266324322238245E+01 ,    -0.918221437709411E+00 , 
   1.98000 ,    -0.102065818920128E+02 ,     0.706342434499903E+01 ,     0.123451202237424E+01 ,    -0.932876792857075E+01 ,    -0.273066175384394E+01 ,    -0.116876183630049E+01 , 
   1.99000 ,    -0.873845240194563E+01 ,     0.912940807909687E+01 ,     0.140099049222135E+01 ,    -0.788377614857459E+01 ,    -0.222025876386420E+01 ,    -0.149391989512611E+01 , 
   2.00000 ,    -0.589230180520204E+01 ,     0.903932559862228E+01 ,     0.117410099007081E+01 ,    -0.524848749919409E+01 ,    -0.117004867288542E+01 ,    -0.179341660509644E+01 , 
   2.01000 ,    -0.191820831257021E+01 ,     0.631551710063739E+01 ,     0.479591368940712E+00 ,    -0.167052291291565E+01 ,     0.288172380821925E+00 ,    -0.195973639403572E+01 , 
   2.02000 ,     0.274695068316385E+01 ,     0.941540671789123E+00 ,    -0.682864354175016E+00 ,     0.244749737635724E+01 ,     0.195618589180125E+01 ,    -0.190509254717899E+01 , 
   2.03000 ,     0.755765720024428E+01 ,    -0.658769559153852E+01 ,    -0.222943428436728E+01 ,     0.662138644092606E+01 ,     0.360827477252236E+01 ,    -0.158568028678109E+01 , 
   2.04000 ,     0.119598222337018E+02 ,    -0.153118839844434E+02 ,    -0.399710264381911E+01 ,     0.103757796570275E+02 ,     0.503297434458498E+01 ,    -0.101710185599150E+01 , 
   2.05000 ,     0.154930012604393E+02 ,    -0.239431786700298E+02 ,    -0.576428448029261E+01 ,     0.133335362619057E+02 ,     0.606879601899682E+01 ,    -0.276644374676636E+00 , 
   2.06000 ,     0.178741765496115E+02 ,    -0.310734545271213E+02 ,    -0.728440555839776E+01 ,     0.152859634964182E+02 ,     0.662695024683873E+01 ,     0.508984769076531E+00 , 
   2.07000 ,     0.190459385860485E+02 ,    -0.354141884513504E+02 ,    -0.832697701775733E+01 ,     0.162291710059432E+02 ,     0.669745307534281E+01 ,     0.118846180193924E+01 , 
   2.08000 ,     0.191789148717310E+02 ,    -0.360249629911266E+02 ,    -0.871881276636518E+01 ,     0.163584819132768E+02 ,     0.633898585198018E+01 ,     0.161810512017518E+01 , 
   2.09000 ,     0.186275317925274E+02 ,    -0.324879350427087E+02 ,    -0.837751464860699E+01 ,     0.160212807158799E+02 ,     0.565652484567886E+01 ,     0.169448533755733E+01 , 
   2.10000 ,     0.178477837825374E+02 ,    -0.249953091589791E+02 ,    -0.733037709082840E+01 ,     0.156372679890062E+02 ,     0.477321894196920E+01 ,     0.137984933085312E+01 , 
   2.11000 ,     0.172936473907175E+02 ,    -0.143329907788139E+02 ,    -0.571432113864651E+01 ,     0.156020485744366E+02 ,     0.380373875463929E+01 ,     0.714136676508731E+00 , 
   2.12000 ,     0.173134433243738E+02 ,    -0.176295556874617E+01 ,    -0.375593805587403E+01 ,     0.161938289316152E+02 ,     0.283525524824366E+01 ,    -0.189807573657241E+00 , 
   2.13000 ,     0.180678002258470E+02 ,     0.111743837998393E+02 ,    -0.173455503032195E+01 ,     0.175028725459480E+02 ,     0.191968247612321E+01 ,    -0.116748831947117E+01 , 
   2.14000 ,     0.194867693500616E+02 ,     0.229020747991248E+02 ,     0.653274886419150E-01 ,     0.193991908478017E+02 ,     0.107753737495640E+01 ,    -0.203634795598376E+01 , 
   2.15000 ,     0.212758565063623E+02 ,     0.320496311936263E+02 ,     0.140354945986741E+01 ,     0.215464924693309E+02 ,     0.310596098438546E+00 ,    -0.263456161548853E+01 , 
   2.16000 ,     0.229708222788380E+02 ,     0.376549063291593E+02 ,     0.212638033961748E+01 ,     0.234611277716323E+02 ,    -0.381725170004062E+00 ,    -0.285646119835836E+01 , 
   2.17000 ,     0.240310579841889E+02 ,     0.392914273619391E+02 ,     0.219295027410066E+01 ,     0.246055057182347E+02 ,    -0.988107864331772E+00 ,    -0.267647736703822E+01 , 
   2.18000 ,     0.239532280206536E+02 ,     0.371025684342338E+02 ,     0.168061689432897E+01 ,     0.244981153803735E+02 ,    -0.147815270539453E+01 ,    -0.215583499014754E+01 , 
   2.19000 ,     0.223823625006148E+02 ,     0.317415824781085E+02 ,     0.767866071772808E+00 ,     0.228183889069729E+02 ,    -0.180498620560505E+01 ,    -0.142998222830558E+01 , 
   2.20000 ,     0.191976498966905E+02 ,     0.242334712705628E+02 ,    -0.302239513552857E+00 ,     0.194850564799022E+02 ,    -0.191732016004155E+01 ,    -0.679059691431368E+00 , 
   2.21000 ,     0.145548565089630E+02 ,     0.157877037111072E+02 ,    -0.127110497069591E+01 ,     0.146913658178002E+02 ,    -0.177765060401220E+01 ,    -0.876489929920659E-01 , 
   2.22000 ,     0.887568812856011E+01 ,     0.759758751543704E+01 ,    -0.191652478836837E+01 ,     0.888869535198429E+01 ,    -0.138116171018264E+01 ,     0.197333222627169E+00 , 
   2.23000 ,     0.278484920868068E+01 ,     0.661723852851796E+00 ,    -0.209707987339168E+01 ,     0.272010022881549E+01 ,    -0.769233703798098E+00 ,     0.101048461134923E+00 , 
   2.24000 ,    -0.299403983111803E+01 ,    -0.434401654247502E+01 ,    -0.177991584883768E+01 ,    -0.308478238474389E+01 ,    -0.324670422196570E-01 ,    -0.360614141111539E+00 , 
   2.25000 ,    -0.776422516495075E+01 ,    -0.712731426537979E+01 ,    -0.104600792199463E+01 ,    -0.783425311206429E+01 ,     0.699378265585170E+00 ,    -0.108286353476799E+01 , 
   2.26000 ,    -0.109793712758721E+02 ,    -0.777017771903023E+01 ,    -0.715133460521075E-01 ,    -0.109951644170292E+02 ,     0.127976149641784E+01 ,    -0.189448785131379E+01 , 
