 Q (1/Ang),U-U  ,U-Cl ,Cl-Cl
   2.74000 ,     0.516578179559300E+00 ,     0.648237668850309E+00 ,    -0.109166945256044E+00 , 
   2.76000 ,     0.531323172068799E+00 ,     0.564963604464608E+00 ,    -0.107747766398242E+00 , 
   2.78000 ,     0.360124947418113E+00 ,     0.544017596125924E+00 ,    -0.127885375344309E+00 , 
   2.80000 ,     0.790103782500766E-01 ,     0.561100302489350E+00 ,    -0.165210411384816E+00 , 
   2.82000 ,    -0.184362489546048E+00 ,     0.577867767447585E+00 ,    -0.207031596257101E+00 , 
   2.84000 ,    -0.319622435513147E+00 ,     0.566545933957335E+00 ,    -0.241262755898077E+00 , 
   2.86000 ,    -0.288388432161739E+00 ,     0.524962865540594E+00 ,    -0.264213504986430E+00 , 
   2.88000 ,    -0.133467702766063E+00 ,     0.473391028331196E+00 ,    -0.282043422074415E+00 , 
   2.90000 ,     0.583252347581943E-01 ,     0.436970269847065E+00 ,    -0.304979745709016E+00 , 
   2.92000 ,     0.210777216809727E+00 ,     0.426746422537814E+00 ,    -0.338414197249728E+00 , 
   2.94000 ,     0.293051993844451E+00 ,     0.432402185795514E+00 ,    -0.377264682247355E+00 , 
   2.96000 ,     0.315770292418559E+00 ,     0.430918971635801E+00 ,    -0.407852593483642E+00 , 
   2.98000 ,     0.300080506213118E+00 ,     0.404105793600427E+00 ,    -0.416379562657078E+00 , 
   3.00000 ,     0.250653735833574E+00 ,     0.352061352886890E+00 ,    -0.398415220552639E+00 , 
   3.02000 ,     0.156958780444543E+00 ,     0.293057334205816E+00 ,    -0.362885090711429E+00 , 
   3.04000 ,     0.204526209713548E-01 ,     0.250302713251160E+00 ,    -0.327581024597791E+00 , 
   3.06000 ,    -0.119763481315977E+00 ,     0.235351621130614E+00 ,    -0.308843944590251E+00 , 
   3.08000 ,    -0.192615563861438E+00 ,     0.240048567876939E+00 ,    -0.311980263054951E+00 , 
   3.10000 ,    -0.137818675670946E+00 ,     0.242602110202972E+00 ,    -0.328533175945244E+00 , 
   3.12000 ,     0.412788678923666E-01 ,     0.223316305859413E+00 ,    -0.342065310894102E+00 , 
   3.14000 ,     0.257082287466527E+00 ,     0.178819418814985E+00 ,    -0.338638355398000E+00 , 
   3.16000 ,     0.374843761923856E+00 ,     0.124841290943369E+00 ,    -0.315307943781426E+00 , 
   3.18000 ,     0.293141394125862E+00 ,     0.856063003651810E-01 ,    -0.281456964597892E+00 , 
   3.20000 ,     0.184724810417830E-01 ,     0.770194999851995E-01 ,    -0.252502172749911E+00 , 
   3.22000 ,    -0.318699277412309E+00 ,     0.948539845896046E-01 ,    -0.240250135022015E+00 , 
   3.24000 ,    -0.525321686519594E+00 ,     0.115670484580291E+00 ,    -0.245959120498410E+00 , 
   3.26000 ,    -0.453393297806933E+00 ,     0.109912404245523E+00 ,    -0.260098367672498E+00 , 
   3.28000 ,    -0.900864596261183E-01 ,     0.591470134708380E-01 ,    -0.268487903829090E+00 , 
   3.30000 ,     0.425589365452722E+00 ,    -0.326406614556328E-01 ,    -0.260779144512134E+00 , 
   3.32000 ,     0.871335144300926E+00 ,    -0.139753348638800E+00 ,    -0.236247704770709E+00 , 
   3.34000 ,     0.105525151661934E+01 ,    -0.226536274488641E+00 ,    -0.203853656192152E+00 , 
   3.36000 ,     0.908811306639679E+00 ,    -0.263690911496061E+00 ,    -0.176952047580456E+00 , 
   3.38000 ,     0.509137756909129E+00 ,    -0.241308500546685E+00 ,    -0.165817211347178E+00 , 
   3.40000 ,     0.257794587399115E-01 ,    -0.173365212246237E+00 ,    -0.171934238129602E+00 , 
   3.42000 ,    -0.369152581651765E+00 ,    -0.926299561473965E-01 ,    -0.186782461546314E+00 , 
   3.44000 ,    -0.573808292544342E+00 ,    -0.384684993267918E-01 ,    -0.195540533076990E+00 , 
   3.46000 ,    -0.578538762995759E+00 ,    -0.419572948904827E-01 ,    -0.183944483029968E+00 , 
   3.48000 ,    -0.439822746958356E+00 ,    -0.113335043561046E+00 ,    -0.145231053660834E+00 , 
   3.50000 ,    -0.235929838285215E+00 ,    -0.236485586210247E+00 ,    -0.840229582248391E-01 , 
   3.52000 ,    -0.350757715489235E-01 ,    -0.373554743870082E+00 ,    -0.151521857333283E-01 , 
   3.54000 ,     0.113313588839392E+00 ,    -0.479445183546035E+00 ,     0.425049771053451E-01 , 
   3.56000 ,     0.175434466668347E+00 ,    -0.521317939106426E+00 ,     0.747413352175984E-01 , 
   3.58000 ,     0.135025204543876E+00 ,    -0.494508992402541E+00 ,     0.792227541099089E-01 , 
   3.60000 ,     0.483121816192361E-02 ,    -0.426263201306660E+00 ,     0.673054996683073E-01 , 
   3.62000 ,    -0.165108015993416E+00 ,    -0.363721834970532E+00 ,     0.589238842306089E-01 , 
   3.64000 ,    -0.299615219830551E+00 ,    -0.350829699281680E+00 ,     0.726073413547264E-01 , 
   3.66000 ,    -0.334171730816864E+00 ,    -0.405675480275093E+00 ,     0.115629139376356E+00 , 
   3.68000 ,    -0.255610194089741E+00 ,    -0.510641642433528E+00 ,     0.179662379879950E+00 , 
