Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature  Curvature  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
141145.850      996815     4856793  0.925E-03  0.786E-02  0.551E+05  0.104E+01  0.102E+03  0.401E+02
142145.872      999561     4884133  0.911E-03  0.783E-02  0.427E+05  0.104E+01  0.105E+03  0.414E+02
143145.841     1002216     4911487  0.897E-03  0.780E-02  0.310E+05  0.109E+01  0.106E+03  0.434E+02
144145.853     1005552     4938561  0.917E-03  0.774E-02  0.904E+05  0.106E+01  0.100E+03  0.299E+02
145145.828     1008301     4965972  0.899E-03  0.771E-02  0.548E+05  0.106E+01  0.102E+03  0.403E+02
150145.867     1011580     4993084  0.911E-03  0.766E-02  0.790E+05  0.106E+01  0.975E+02  0.295E+02
151145.837     1014858     5020182  0.924E-03  0.760E-02  0.120E+06  0.107E+01  0.935E+02  0.263E+02
152145.836     1017773     5047514  0.911E-03  0.756E-02  0.654E+05  0.107E+01  0.105E+03  0.250E+02
153145.851     1020486     5074897  0.903E-03  0.752E-02  0.306E+05  0.106E+01  0.105E+03  0.281E+02
154145.828     1023255     5102308  0.894E-03  0.748E-02  0.778E+05  0.106E+01  0.107E+03  0.268E+02
155145.887     1026048     5129693  0.877E-03  0.745E-02  0.768E+05  0.110E+01  0.106E+03  0.347E+02
160145.870     1029283     5156854  0.889E-03  0.740E-02  0.125E+06  0.110E+01  0.975E+02  0.266E+02
161145.903     1032227     5184187  0.880E-03  0.735E-02  0.797E+05  0.112E+01  0.104E+03  0.291E+02
162145.844     1035650     5211316  0.904E-03  0.729E-02  0.194E+06  0.111E+01  0.953E+02  0.191E+02
163145.828     1038727     5238756  0.888E-03  0.724E-02  0.822E+05  0.117E+01  0.996E+02  0.253E+02
164145.836     1041669     5266195  0.869E-03  0.721E-02  0.425E+05  0.117E+01  0.106E+03  0.280E+02
165145.838     1044491     5293619  0.856E-03  0.717E-02  0.521E+05  0.118E+01  0.106E+03  0.294E+02
170145.839     1047306     5320994  0.848E-03  0.714E-02  0.665E+05  0.120E+01  0.105E+03  0.294E+02
171145.860     1049987     5348364  0.837E-03  0.711E-02  0.413E+05  0.123E+01  0.108E+03  0.304E+02
172145.825     1053219     5375522  0.859E-03  0.705E-02  0.122E+06  0.119E+01  0.969E+02  0.223E+02
173145.831     1056203     5402898  0.846E-03  0.701E-02  0.941E+05  0.119E+01  0.104E+03  0.262E+02
174146.432     1058892     5430286  0.910E-03  0.694E-02  0.704E+05  0.120E+01  0.109E+03  0.319E+02
