 Q (1/Ang),Yb-Yb,Yb-Sn,Yb-O ,Sn-Sn,Sn-O ,O-O  
   1.72000 ,    -0.282952388802327E+01 ,     0.137919210649009E+01 ,     0.167142071411165E-01 ,    -0.275878554390191E+01 ,     0.158672977370576E+01 ,    -0.152771398121868E+01 , 
   1.73000 ,    -0.248963395557580E+01 ,    -0.112096509882334E+01 ,    -0.245269863612385E+00 ,    -0.236590527710666E+01 ,     0.207520747514238E+01 ,    -0.169713970943907E+01 , 
   1.74000 ,    -0.286124677181771E+01 ,    -0.346009247597848E+01 ,    -0.458463989742302E+00 ,    -0.272745217800448E+01 ,     0.204360186839940E+01 ,    -0.170084738772341E+01 , 
   1.75000 ,    -0.389132637312974E+01 ,    -0.502323439431627E+01 ,    -0.564273601616977E+00 ,    -0.379367756420795E+01 ,     0.148962473830612E+01 ,    -0.154327302382505E+01 , 
   1.76000 ,    -0.536328190647513E+01 ,    -0.536183089633791E+01 ,    -0.527918228531419E+00 ,    -0.533937646484745E+01 ,     0.542581197053146E+00 ,    -0.127765393050805E+01 , 
   1.77000 ,    -0.694005973202624E+01 ,    -0.431786342435860E+01 ,    -0.348908749843049E+00 ,    -0.700908410045009E+01 ,    -0.566876671452274E+00 ,    -0.990942548422801E+00 , 
   1.78000 ,    -0.823837524679360E+01 ,    -0.208090478426809E+01 ,    -0.636651227198749E-01 ,    -0.839592252350483E+01 ,    -0.156264538396206E+01 ,    -0.779153414315091E+00 , 
   1.79000 ,    -0.891821866375021E+01 ,     0.839940382185204E+00 ,     0.260916845443097E+00 ,    -0.913707618083886E+01 ,    -0.219113787961375E+01 ,    -0.719819094743189E+00 , 
   1.80000 ,    -0.876737782388093E+01 ,     0.372684530290194E+01 ,     0.542030399498187E+00 ,    -0.900413928174423E+01 ,    -0.228466965289522E+01 ,    -0.849110383491424E+00 , 
   1.81000 ,    -0.776082757768906E+01 ,     0.582368049230430E+01 ,     0.700706196834311E+00 ,    -0.796671632111354E+01 ,    -0.180462218649459E+01 ,    -0.115003251148178E+01 , 
