Time       moves_acc moves_gen     G(r)_1     S(Q)_1   Tail_fine  Curvature
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01
080156.550     1707431     8192904  0.771E-03  0.120E-02  0.787E+03  0.125E+02
081156.528     1714787     8256801  0.774E-03  0.118E-02  0.727E+03  0.111E+02
082156.543     1722075     8320970  0.776E-03  0.116E-02  0.988E+03  0.132E+02
083156.544     1729382     8385189  0.778E-03  0.114E-02  0.102E+04  0.129E+02
084156.539     1736665     8449364  0.780E-03  0.112E-02  0.908E+03  0.126E+02
085156.548     1743918     8513701  0.784E-03  0.110E-02  0.913E+03  0.152E+02
090156.549     1750939     8577587  0.785E-03  0.109E-02  0.609E+03  0.156E+02
091156.530     1758107     8641579  0.790E-03  0.107E-02  0.633E+03  0.170E+02
092156.545     1765271     8705458  0.792E-03  0.105E-02  0.993E+03  0.166E+02
093156.539     1772387     8769190  0.795E-03  0.103E-02  0.712E+03  0.177E+02
094156.543     1779639     8833248  0.799E-03  0.102E-02  0.117E+04  0.177E+02
095156.537     1786775     8896957  0.803E-03  0.100E-02  0.100E+04  0.196E+02
100156.533     1793810     8960792  0.805E-03  0.986E-03  0.123E+04  0.187E+02
101156.561     1800877     9024387  0.807E-03  0.971E-03  0.106E+04  0.193E+02
102156.552     1807912     9088145  0.807E-03  0.956E-03  0.867E+03  0.179E+02
103156.538     1814910     9151711  0.812E-03  0.941E-03  0.128E+04  0.186E+02
104156.547     1821874     9215232  0.811E-03  0.927E-03  0.164E+04  0.191E+02
105156.534     1828808     9278930  0.816E-03  0.912E-03  0.120E+04  0.197E+02
110156.548     1835731     9342482  0.818E-03  0.899E-03  0.120E+04  0.189E+02
111156.534     1842677     9406043  0.821E-03  0.885E-03  0.120E+04  0.186E+02
112156.544     1849513     9469721  0.822E-03  0.872E-03  0.119E+04  0.199E+02
113156.527     1856432     9533386  0.824E-03  0.859E-03  0.227E+04  0.197E+02
114156.553     1863316     9597137  0.826E-03  0.847E-03  0.199E+04  0.202E+02
115156.541     1870119     9660943  0.826E-03  0.835E-03  0.116E+04  0.196E+02
120156.550     1876963     9724915  0.827E-03  0.823E-03  0.157E+04  0.200E+02
121156.549     1883727     9788730  0.829E-03  0.812E-03  0.117E+04  0.196E+02
122156.549     1890567     9852247  0.831E-03  0.800E-03  0.157E+04  0.188E+02
123156.538     1897443     9915892  0.835E-03  0.789E-03  0.153E+04  0.197E+02
124156.548     1904283     9979603  0.838E-03  0.777E-03  0.192E+04  0.199E+02
125156.543     1911227    10043656  0.841E-03  0.766E-03  0.192E+04  0.187E+02
